GR20170086,9499055823,Prlgovtitisattur@gmail.com,"Government Industrial Training Institute, Sattur (SCVT)"
GR20170089,9499055670,govtadwiti@gmail.com,"Goverment Industrial Training Institute,Vadakarai, Thiruvallur (SCVT)"
GR201800093,9499055705,gitigobi@gmail.com,"Government Industrial Training Institute, Gobichettipalayam"
GR201800326,9499055744,govtitikottur@gmail.com,"Goverment Industrial Training Institute,Kottur"
GR201800421,9499055683,gitivaniyambadi@gmail.com,"Goverment Industrial Training Institute,Vaniyambadi"
GR20190097,9962986696,govtitiperumbakkam@gmail.com,"Government Industrial Training Institute, Perumbakkam"
GR20190998,9443678906,govtitisembodai@gmail.com,"Government Industrial Training Institute, Sembodai"
GR2020000001,9789242292,govtiticpt603111@gmail.com,"Government Industrial Training Institute, Oragadam"
GR2022001,9842054292,govtitimangalur@gmail.com,"Government Industrial Training Institute, Mangalur"
GR2022002,9865554672,prlmanamadurai@gmail.com,"Government Industrial Training Institute, Manamadurai"
GR2022003,9444621245,govtiticheyyar2022@gmail.com,"Government Industrial Training Institute, Cheyyar"
GR2022004,9578855154,prlgovtitithiruchuli@gmail.com,"Government Industrial Training Institute, Thiruchuli"
GR2022005,9444224363,govtitigpd@gmail.com,"Government Industrial Training Institute, Gummidipoondi"
GR2022006,9976799321,gitiodcdgl@gmail.com,"Government Industrial Training Institute, Odanchathiram"
GR2022007,9443861656,govtitikadalai@gmail.com,"Government Industrial Training Institute, Kadaladi"
GR2022009,9442525608,gitidenkani22@gmail.com,"Government Industrial Training Institute, Thenkanikottai"
GR2022011,9600979707,itivalparai@gmail.com,"Government Industrial Training Institute, Valparai"
GR33000034,9499055819,prlgovtitivnr@gmail.com,"Government Industrial Training Institute, Virudhunagar"
GR33000036,9499055791,itipettai@gmail.com,"Government Industrial Training Institute, Tirunelveli"
GR33000038,9499055698,govtitinagai@gmail.com,"Goverment Industrial Training Institute,Nagapattinam"
GR33000042,9499055831,gitimdm@gmail.com,"Goverment Industrial Training Institute,Mettur Dam"
GR33000044,9499055812,govtititcr@gmail.com,"Government Industrial Training Institute, Tiruchendur"
GR33000045,9499055791,itipettai@gmail.com,"Government Industrial Training Institute, Nagercoil"
GR33000046,9499055716,trichyiti5@gmail.com,"Government Industrial Training Institute, Trichy"
GR33000047,9499055676,veliti510@yahoo.co.in,"Goverment Industrial Training Institute,Vellore"
GR33000048,9499055850,govt.iti.upt@gmail.com,"Government Industrial Training Institute, Ulundurpettai"
GR33000050,9499055877,prlgitiariyalur@gmail.com,"Goverment Industrial Training Institute,Ariyalur"
GR33000051,9499055664,ambatturiti@gmail.com,"Government Industrial Training Institute, Ambattur"
GR33000053,9499055698,dpmgiti@gmail.com,"Government Industrial Training Institute, Dharapuram"
GR33000054,9499055838,gitihosur@gmail.com,"Government Industrial Training Institute, Hosur"
GR33000057,9499055703,giti.tnerode@gmail.com,"Government Industrial Training Institute, Erode"
GR33000059,9499055784,principal.karaikudi@gmail.com,"Government Industrial Training Institute, Karaikudi"
