7215,Nehru Institute of Information Technology and Management ,0
7122,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,717
7178,KARPAGAM COLLEGE OF ENGINEERING,0
8120,M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,655
6221,PAAVAI ENGINEERING COLLEGE,0
2131,PAPNI SCHOOL OF ARCHITECTURE,20
9507,FRANCIS XAVIER ENGINEERING COLLEGE,0
7113,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY,0
8133,R.V.S - K.V.K INSTITUTE OF MANAGEMENT STUDIES,0
7207,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,0
9231,CHERAN COLLEGE OF ENGINEERING,39
7227,SREE NARAYANA GURU INSTITUTE OF  MANAGEMENT STUDIES,0
9605,CAPE INSTITUTE OF TECHNOLOGY,909
2179,V.K.K. VIJAYAN ENGINEERING COLLEGE,0
7243,HINDUSTAN SCHOOL OF ARCHITECTURE,101
9613,M.E.T. ENGINEERING COLLEGE,205
5115,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,480
8128,MOOKAMBIGAI COLLEGE OF ENGINEERING,767
3119,ROYAL INSTITUTE OF MANAGEMENT STUDIES & COMPUTER APPLICATION,0
8225,SWAMI VIVEKANANDA INSTITUTE OF MANAGEMENT,0
7218,RATHINAM TECHNICAL CAMPUS,803
1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,131
8111,IMAYAM COLLEGE OF INFORMATION TECHNOLOGY,0
8101,C.A.R.E. SCHOOL OF ARCHITECTURE,193
9223,UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL,460
8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,350
6232,VASAVI VIDYA TRUST GROUP OF INSTITUTIONS"",0
3101,ANAND INSTITUTE OF HIGHER TECHNOLOGY,929
1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,577
2110,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE,0
4212,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,726
7308,EXCEL COLLEGE OF TECHNOLOGY,0
7123,PARK COLLEGE OF TECHNOLOGY,52
8122,M.A.M.B. SCHOOL,0
1130,MARG Institute of Design and Architecture Swarnabhoomi (MIDAS),0
9110,LATHA MATHAVAN ENGINEERING COLLEGE,323
7245,San Academy of Architecture,77
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,990
4206,ANNAI TERESA COLLEGE OF ENGINEERING,413
5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,169
3130,DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE,0
7134,SASURIE ACADEMY OF ENGINEERING,0
3121,SMK FOMRA INSTITUTE OF TECHNOLOGY,155
6103,ARCHANA INSTITUTE OF TECHNOLOGY,0
7147,Rvs School of Architecture ,7
7126,PRAHAR SCHOOL OF ARCHITECTURE,0
7334,KONGU SCHOOL OF ARCHITECTURE,60
6234,SKANDHA SCHOOL OF ARCHITECTURE,0
6136,SPECTRUM COLLEGE OF TECHNOLOGY,0
4219,SRI ARAVINDAR ENGINEERING COLLEGE,0
7156,TIPS SCHOOL OF MANAGEMENT,0
9627,Universal College of Engineering and Technology Vallioor ,499
1134,KUMARAN INSTITUTE OF TECHNOLOGY,0
1136,SCHOOL OF ARCHITECTURE ST.PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY,28
9620,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,542
9116,MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY,290
5122,S.K.P. ENGINEERING COLLEGE,266
