1101,65,7,2209,4
1101,62,7,2209,11
1103,65,7,2209,4
1103,62,7,2209,6
1105,100,7,2209,5
1105,65,7,2209,3
1105,62,7,2209,7
1106,65,7,2209,2
1106,62,7,2209,1
1107,62,7,2209,1
1108,100,7,2209,1
1108,65,7,2209,3
1108,91,7,2209,2
1108,62,7,2209,5
1111,65,7,2209,3
1111,62,7,2209,5
1114,65,7,2209,3
1114,62,7,2209,4
1118,65,7,2209,3
1118,62,7,2209,3
1120,62,7,2209,3
1121,62,7,2209,1
1123,65,7,2209,3
1123,62,7,2209,3
1124,65,7,2209,5
1124,62,7,2209,10
1125,65,7,2209,3
1125,62,7,2209,7
1126,65,7,2209,2
1126,62,7,2209,1
1127,100,7,2209,3
1127,65,7,2209,2
1127,62,7,2209,4
1128,65,7,2209,2
1128,62,7,2209,4
1133,65,7,2209,3
1133,62,7,2209,4
1138,62,7,2209,2
2101,62,7,2209,1
2102,100,7,2209,4
2102,62,7,2209,4
2103,65,7,2209,7
2103,62,7,2209,7
2104,65,7,2209,13
2104,62,7,2209,34
2104,98,7,2209,12
2105,65,7,2209,5
2105,62,7,2209,14
2106,65,7,2209,5
2106,62,7,2209,8
2108,62,7,2209,10
2108,87,7,2209,6
2109,65,7,2209,8
2109,62,7,2209,19
2111,100,7,2209,1
2111,62,7,2209,2
2112,62,7,2209,2
2113,100,7,2209,7
2113,65,7,2209,1
2115,65,7,2209,13
2115,62,7,2209,14
2117,62,7,2209,6
2119,93,7,2209,1
2119,65,7,2209,2
2119,62,7,2209,7
2126,65,7,2209,2
2126,62,7,2209,3
2129,65,7,2209,7
2129,62,7,2209,17
5134,65,7,2209,13
5134,62,7,2209,10
3101,65,7,2209,3
3101,62,7,2209,3
3103,56,7,2209,13
3105,100,7,2209,5
3105,65,7,2209,7
3105,62,7,2209,7
3107,49,7,2209,1
3108,100,7,2209,3
3108,65,7,2209,6
3108,62,7,2209,11
3110,100,7,2209,10
3110,93,7,2209,5
3110,65,7,2209,6
3110,91,7,2209,2
3110,125,7,2209,7
3110,62,7,2209,8
3110,98,7,2209,3
3111,65,7,2209,12
3111,62,7,2209,24
3114,65,7,2209,3
3114,62,7,2209,3
3115,65,7,2209,11
3115,62,7,2209,9
3116,65,7,2209,1
3116,62,7,2209,5
3118,65,7,2209,1
3118,62,7,2209,5
3121,62,7,2209,2
3124,65,7,2209,5
3124,62,7,2209,21
3126,62,7,2209,1
3128,65,7,2209,4
3128,125,7,2209,2
3128,62,7,2209,4
3128,98,7,2209,8
3128,47,7,2209,2
4101,65,7,2209,6
4101,62,7,2209,8
4103,65,7,2209,1
4103,62,7,2209,3
4106,65,7,2209,2
4106,62,7,2209,3
4107,65,7,2209,5
4107,62,7,2209,9
4108,65,7,2209,1
4108,62,7,2209,3
4114,65,7,2209,1
4114,62,7,2209,3
4115,65,7,2209,3
4115,62,7,2209,5
4117,65,7,2209,1
4117,62,7,2209,6
4118,65,7,2209,4
4118,62,7,2209,4
4121,62,7,2209,1
4123,65,7,2209,1
4123,62,7,2209,5
4126,65,7,2209,1
4126,62,7,2209,1
4127,100,7,2209,2
4127,65,7,2209,1
4127,62,7,2209,3
4130,62,7,2209,4
4119,65,7,2209,1
4204,65,7,2209,4
4204,62,7,2209,8
4208,62,7,2209,3
4212,93,7,2209,11
4212,65,7,2209,1
