Celonis,Information Technology,Process mining Fundamentals Prorgam,Fundamentals Prorgam,1,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3,4",Online,20 -100 Emerging Technologiess,Working knowledge in Process Mining and data enginering,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Process mining Fundamentals Prorgam,Fundamentals Prorgam,2,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3",Online,20 -100 Emerging Technologiess,Working knowledge in Process Mining and data enginering,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Automation Bootcamp Program,Bootcamp Program,1,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3,4",Online,20 -100 Emerging Technologiess,Working knowledge in Process automation,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Automation Bootcamp Program,Bootcamp Program,2,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3",Online,20 -100 Emerging Technologiess,Working knowledge in Process automation,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Deep Dive,Programming,1,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3,4",Online,20 -100 Emerging Technologiess,Professional skills in Deep drive automation & process Engineering,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Deep Dive,Programming,2,"IT, CSE, ECE, BSC Computer science, BCA, MCA","B.E. Computer Science and Engineering, B.E. Electronics and Communication Engineering, B.Tech. Information Technology, B.E. Electronics and Communication Engineering (Part Time), B.E. Computer Science and Engineering (Tamil Medium), B.E. Computer Science and Engineering (Part Time),","1,2,3",Online,20 -100 Emerging Technologiess,Professional skills in Deep drive automation & process Engineering,"Celonis, Germany","Software Engineer, Process Mining Engineer, Data Analyst",Free,https://www.celonis.com/
Celonis,Information Technology,Information Technologys,Programming,1,All Students,,"1,2,3,4",Online,NA,"Information Technologys for students, prizes , internship, jobs","Chitti.AI ( Celonis, Microsoft, Capgemini,GIZ, SMC, Schnider etc)",NA,Free,https://nm.chitti.ai/login
Celonis,Information Technology,Information Technologys,Programming,2,All Students,,"1,2,3",Online,NA,"Information Technologys for students, prizes , internship, jobs","Chitti.AI ( Celonis, Microsoft, Capgemini,GIZ, SMC, Schnider etc)",NA,Free,https://nm.chitti.ai/login
Celonis,Information Technology,Information Technologys,Programming,3,All Students,,"1,2,3",Online,NA,"Information Technologys for students, prizes , internship, jobs","Chitti.AI ( Celonis, Microsoft, Capgemini,GIZ, SMC, Schnider etc)",NA,Free,https://nm.chitti.ai/login
Celonis,Information Technology,Information Technologys,Programming,4,All Students,,"1,2",Online,NA,"Information Technologys for students, prizes , internship, jobs","Chitti.AI ( Celonis, Microsoft, Capgemini,GIZ, SMC, Schnider etc)",NA,Free,https://nm.chitti.ai/login
