iamneo,Emerging Technologies,Data Structures and Algorithms Laboratory,Data Structures,1,Any,,"1,2,3,4",Hybrid,120,"At the end of the course, you will be able to • Implement all operations on different linear data structures
• Develop all operations on different non-linear data structures
• Apply various searching and sorting techniques
• Use appropriate data structure for any given problem",Course completion certificate by iamneo,Entry level IT services or product company jobs,Free for Govt college students For other colleges - Rs.500/ per student,,Hybrid
iamneo,Emerging Technologies,Data Structures and Algorithms Laboratory,Data Structures,2,Any,,"1,2,3",Hybrid,120,"At the end of the course, you will be able to • Implement all operations on different linear data structures
• Develop all operations on different non-linear data structures
• Apply various searching and sorting techniques
• Use appropriate data structure for any given problem",Course completion certificate by iamneo,Entry level IT services or product company jobs,Free for Govt college students For other colleges - Rs.500/ per student,,Hybrid
iamneo,Information Technology,Database Management System(Oracle),Database Management,1,Any,,"1,2,3,4",Hybrid,120,"At the end of the course, you will be able to • Design database schema for a given application and apply normalization
• Acquire skills using Oracle commands for data definition and data manipulation
• Acquire clear understanding of PLSQL",Course completion certificate by iamneo,Entry level IT services or product company jobs,Free for Govt college students For other colleges - Rs.500/ per student,,Hybrid
iamneo,Information Technology,Database Management System(Oracle),Database Management,2,Any,,"1,2,3",Hybrid,120,"At the end of the course, you will be able to • Design database schema for a given application and apply normalization
• Acquire skills using Oracle commands for data definition and data manipulation
• Acquire clear understanding of PLSQL",Course completion certificate by iamneo,Entry level IT services or product company jobs,Free for Govt college students For other colleges - Rs.500/ per student,,Hybrid
iamneo,Information Technology,Database Management System,Database Management,2,Any,,"1,2,3",Hybrid,120,"At the end of the course, you will be able to • Design database schema for a given application and apply normalization
• Acquire skills using SQL commands for data definition and data manipulation
• Apply various searching and sorting techniques
• Use appropriate data structure for any given problem",Course completion certificate by iamneo,Entry level IT services or product company jobs,Free for Govt college students For other colleges - Rs.500/ per student,,Hybrid
iamneo,Information Technology,dotNet Full Stack with Angular,dotNet,1,Any,,"1,2,3,4",Hybrid,250,"• You will be able to build a fully functional simple .NET Web Application from scratch using industry standard practices
• Understand and develop basic HTML, CSS and JS frontend applications
• Understand and develop basic C# backend applications",Course completion certificate by iamneo,Entry level IT services or product company jobs,"Girl child from Government schools - Free
For Others - Rs. 10,000/- per student",,Hybrid
iamneo,Information Technology,dotNet Full Stack with Angular,dotNet,2,Any,,"1,2,3",Hybrid,250,"• You will be able to build a fully functional simple .NET Web Application from scratch using industry standard practices
• Understand and develop basic HTML, CSS and JS frontend applications
• Understand and develop basic C# backend applications",Course completion certificate by iamneo,Entry level IT services or product company jobs,"Girl child from Government schools - Free
For Others - Rs. 10,000/- per student",,Hybrid
iamneo,Information Technology,dotNet Full Stack with React,dotNet,1,Any,,"1,2,3,4",Hybrid,250,"• You will be able to build a fully functional simple .NET Web Application from scratch using industry standard practices
• Understand and develop basic HTML, CSS and JS frontend applications
• Understand and develop basic C# backend applications",Course completion certificate by iamneo,Entry level IT services or product company jobs,"Girl child from Government schools - Free
For Others - Rs. 10,000/- per student",,Hybrid
iamneo,Information Technology,dotNet Full Stack with React,dotNet,2,Any,,"1,2,3",Hybrid,250,"• You will be able to build a fully functional simple .NET Web Application from scratch using industry standard practices
• Understand and develop basic HTML, CSS and JS frontend applications
• Understand and develop basic C# backend applications",Course completion certificate by iamneo,Entry level IT services or product company jobs,"Girl child from Government schools - Free
For Others - Rs. 10,000/- per student",,Hybrid
iamneo,Information Technology,Front-End Information Technology with Angular,Front-End,1,Any,,"1,2,3,4",Hybrid,120,"Upon completion of this course, you will be able to • Build a simple HTML text site
• Style web pages using CSS
• Program websites with JavaScript
• Build a setup using Bootstrap
• Implement a functional front-end web application using Angular",Course completion certificate by iamneo,Entry level IT services or product company jobs,"Girl child from Government schools - Free
For Others - Rs. 5,000/- per student",,Hybrid
