1232,principalarmenggcollege@gmail.com,9942990053,A R M College of Engineering and Technology
1135,abdu@amsarch.ac.in,9566009093,Aalim Muhammed Salegh Academy of Architecture
1145,muthukumart@asa.ac.in,9840280140,Anand School of Architecture
1503,amaceecivildepartment@gmail.com,9500110801,Arulmigu Meenakshi Amman College of Engineering
2705,thiagarajan@csice.edu.in,9443264624,C S I College of Engineering
3784,smanjula@care.ac.in,9790680804,C.A.R.E School of Architecture
4946,jebajenkinj@gmail.com,9994807051,D M I Engineering College
2660,Merged with Gnanamani College of Technology (2624),Merged with Gnanamani College of Technology (2624),Gnanamani College of Engineering
1238,ashokkumar.r@grt.edu.in,9789151318,GRT Institute of Engineering and Technology
4934,murugeshstructural721985@gmail.com,8682888533,Holy Cross Engineering College
2640,principal@jit.net.in,9894916315,Jayalakshmi Institute of Technology
1235,jmceprincipal1@gmail.com,9655223113,JEI Mathaajee College of Engineering
1409,lims0181@gmail.com,9629855071,Karpagavinayaga College of Engineering and Technology
2712,vijilesh@kct.ac.in,9487700834,Kumaraguru College of Technology (Autonomous)
1450,coe@licet.ac.in,9840213888,Loyola-ICAM College of Engineering and Technology
3811,tamilselvan.t@miet.edu,9787393272,M I E T Engineering College
2713,likevisu@gmail.com,9842183733,M P Nachimuthu M Jagannathan Engineering College
3783,hod@mamsa.co.in,6381829659,M.A.M. School of Architecture
1243,principal448@gmail.com,7871356104,Madha Institute of Engineering and Technology
2609,vijayakumars@mahendra.info,9629723720,Mahendra Engineering College (Autonomous)
4928,jackisak@gmail.com,9940848300,MAR Ephraem College of Engineering & Technology
1130,admin@midas.ac.in,8754501546,MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS)
1308,shabana@measiarch.net,9962557757,Measi Academy of Architecture
3812,vasaham.ji@gmail.com,7598411565,Mookambigai College of Engineering
2365,nehrunsa@nehrucolleges.com,9789748127,Nehru School of Architecture
2741,chitrapacet@gmail.com,9486661800,P A College of Engineering and Technology
2642,srinivasanpsvit@gmail.com,8610862688,P S V College of Engineeering and Technology
1226,hodeee@ptleecncet.com,9751236990,P T Lee Chengalvaraya Naicker College of Engineering and Technology
3467,primenestindia@gmail.com,9444144314,Prime Nest College of Architecture and Planning
5863,vaitheeshwari0504@gmail.com,8220833839,R V S School of Architecture
2776,cse.satheesh@gmail.com ,9994889695,R V S Technical Campus-Coimbatore
1511,amk1306@gmail.com,8667013673,Ranippettai Engineering College
1114,sureshk@saec.ac.in,9894598755,S A Engineering College
4938,rogerjeessmith@gmail.com,9790403254,Sivaji College of Engineering and Technology
1115,saravanan.asotprof@gmail.com,9965845906,Sri Ram Engineering College
3454,sriramakrishnaengg@gmail.com,8778185960,Sri Ramakrishna College of Engineering
1426,1426srec@gmail.com,9962477204,Sri Ramanujar Engineering College
2342,gnanavel@sriet.ac.in,9750697606,Sri Ranganathar Institute of Engineering and Technology
3795,manimaran.s@trp.srmtrichy.edu.in,994563293,SRM TRP Engineering College
4933,cordeliasumathy@mtec.ac.in,9487482421,St. Mother Theresa Engineering College
1318,,9444567864,T J Institute of Technology
3016,sskeee@auucea.edu.in ,9787589878,University College of Engineering
3848,kganesh012@gmail.com,8220344273,Vandayar Engineering College
1237,kaliagurumoorthi.eee@velammalitech.edu.in,9940291006,Velammal Institute of Technology
