id,branch,student count,verified student count,unverified student count
1206,DIRECTION SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),0,0,0
1207,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),0,0,0
1208,PROSTHETICS AND ORTHOTICS ENGINEERING (FULL TIME),0,0,0
1209,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME),0,0,0
1210,COMMUNITY DEVELOPMENT AND CHILD WELFARE (FULL TIME),0,0,0
1211,COSMETOLOGY AND PHYSIQUE CULTURE,0,0,0
1212,INDUSTRIAL SAFETY (FULL TIME),0,0,0
1213,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (CENTRAL),0,0,0
1214,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME),34,0,34
1215,FASION DESIGN & CLOTHING TECHNOLOGY (FULL TIME),0,0,0
1216,VISUAL DESIGN COMMUNICATION (FULL TIME),0,0,0
1217,INTERIOR DESIGN,0,0,0
1218,TEXTILE DESIGN (FULL TIME),0,0,0
1220,MECHANICAL ENGINEERING (TOOL AND DIE) (FULL TIME),740,345,395
1221,MECHANICAL ENGINEERING (REFRIGERATION & AIR-CONDITIONING) (FT),273,74,199
1222,AGRICULTURAL TECHNOLOGY (FULL TIME),550,31,519
1223,FASHION TECHNOLOGY (FULL TIME),0,0,0
1224,TEXTILE TECHNOLOGY (TEXTILE DESIGN AND WEAVING),58,58,0
1225,TEXTILE TECHNOLOGY (MAN MADE FIBRE),20,20,0
1226,APPLIED ARTS AND CRAFTS (FASHION AND APPAREL DESIGN)(FULL TIME),13,0,13
1227,SHUTTLELESS WEAVING (FULL TIME),0,0,0
1228,HOME TEXTILES (FULL TIME),0,0,0
1229,TEXTRONICS (FULL TIME),0,0,0
1230,TEXTILE TECHNOLOGY (KNITTING & GARMENT TECHNOLOGY),0,0,0
1501,FILM TECHNOLOGY AND T V PRODUCTION (CINEMATOGRAPHY) (FULL TIME),0,0,0
1502,FILM TECHNOLOGY AND T V PRODUCTION ( FILM PROCESSING) (FULL TIME),0,0,0
1503,FILM TECHNOLOGY AND T V PRODUCTION ( SR & SE) (FULL TIME),0,0,0
1504,DIRECTION AND SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),0,0,0
1505,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),0,0,0
1506,FILM TECHNOLOGY (ANIMATION AND VISUAL EFFECTS) (FULL TIME),0,0,0
1507,FILM TECHNOLOGY AND T V PRODUCTION ( DIGITAL INTERMEDIATE ) (FULL TIME),0,0,0
1508,FILM TECHNOLOGY AND T V PRODUCTION (CINEMATOGRAPHY) (FULL TIME),1,1,0
1509,FILM TECHNOLOGY AND T V PRODUCTION ( SR & SE) (FULL TIME),0,0,0
1510,DIRECTION AND SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),0,0,0
1511,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),0,0,0
2010,CIVIL ENGINEERING (SANDWICH),10,0,10
2020,MECHANICAL ENGINEERING (SANDWICH),508,205,303
2021,MECHANICAL ENGINEERING ((FOUNDRY) SWC),0,0,0
2022,MECHANICAL ENGINEERING (MACHINE TOOL MAINTENANCE & REPAIRS) (SWC),100,0,100
2030,ELECTRICAL AND ELECTRONICS ENGINEERING(SANDWICH),0,0,0
2047,MECHATRONICS ENGINEERING (SANDWICH),174,0,174
2060,TEXTILE TECHNOLOGY (SANDWICH),0,0,0
2061,TEXTILE PROCESSING (SANDWICH),0,0,0
2072,PLASTIC TECHNOLOGY (SANDWICH),0,0,0
2073,PLASTIC ENGINEERING (SANDWICH),0,0,0
2074,POLYMER TECHNOLOGY (SANDWICH),67,0,67
2076,PULP AND PAPER TECHNOLOGY (SANDWICH),0,0,0
2077,FISHERIES TECHNOLOGY & NAVIGATION ENGG (SANDWICH),0,0,0
2078,FISHERIES TECHNOLOGY (SANDWICH),0,0,0
2079,CHEMICAL ENGINEERING (SANDWICH)),170,0,170
2080,CERAMIC TECHNOLOGY(SANDWICH),97,0,97
2101,LEATHER TECHNOLOGY (SANDWICH),136,91,45
2102,ARCHITECTURAL ASSISTANTSHIP (SANDWICH),41,41,0
2103,MACHINE TOOL MAINTENANCE AND REPAIRS (SANDWICH),0,0,0
2104,FOUNDRY TECHNOLOGY (SANDWICH),0,0,0
2105,FOOTWEAR TECHNOLOGY (FULL TIME),0,0,0
2149,ROBOTICS AND AUTOMATION ENGINEERING,47,0,47
3010,CIVIL ENGINEERING (PART TIME),249,72,177
3020,MECHANICAL ENGINEERING (PART TIME),469,129,340
3030,ELECTRICAL AND ELECTRONICS ENGINEERING (PART TIME),693,178,515
3040,ELECTRONICS AND COMMUNICATION ENGINEERING (PART TIME),11,1,10
3045,ELECTRONICS (WSI) (PARTTIME),0,0,0
3072,PETROLEUM ENGINEERING (PARTTIME),0,0,0
3075,PETROCHEMICAL ENGINEERING (PART TIME),0,0,0
3202,PRINTING TECHNOLOGY,0,0,0
4010,CIVIL ENGINEERING (PRIVATE),0,0,0
4020,MECHANICAL ENGINEERING (PRIVATE),0,0,0
4030,ELECTRICAL AND ELECTRONICS ENGINEERING (PRIVATE),0,0,0
4060,TEXTILE TECH  (MAN MADE FIBRE TECH),0,0,0
5101,POST DIPLOMA IN COMPUTER APPLICATIONS,3,3,0
5102,POST DIPLOMA IN KNITTING AND GARMENT TECHNOLOGY,0,0,0
5103,POST DIPLOMA IN PETRO CHEMICAL TECHNOLOGY,0,0,0
5104,POST DIPLOMA IN MEDICAL EQUIPMENT TECHNOLOGY,0,0,0
5105,POST DIPLOMA IN AUTOMOBILE ENGINEERING,0,0,0
5106,POST DIPLOMA IN WELDING TECHNOLOGY,0,0,0
5107,POST DIPLOMA IN CONSTRUCTION TECHNOLOGY,0,0,0
5108,POST DIPLOMA IN DIE AND TOOL DESIGN,0,0,0
5109,POST DIPLOMA IN AUTOMOBILE ENGINEERING,0,0,0
5110,POST DIPLOMA IN TOOL DESIGN,0,0,0
5111,POST DIPLOMA IN ADVANCED TOOL AND DIE DESIGN,0,0,0
5112,POST DIPLOMA IN TELEVISION ENGINEERING,0,0,0
5113,POST DIPLOMA IN QUANTITY SURVEYING,0,0,0
5114,POST DIPLOMA IN TEXTILE WET PROCESSING,0,0,0
5115,POST DIPLOMA IN TOWN AND COUNTRY PLANNING,0,0,0
5119,POST DIPLOMA IN METALLURGY,0,0,0
